id,name,inn,oou,subject_id,type_id,slug
365,"ГУП г. Севастополя ""Севастопольгаз""",,,,,gosudarstviennoie_unitarnoie_priedpriiatiie_ghoroda_sievastopolia_po_ghazoraspriedielieniiu_i_ghazosnabzhieniiu_sievastopolghaz
366,"ГУП Ненецкого автономного округа ""Ненецкая коммунальная компания""",,,,,gup_nao_nienietskaia_kommunalnaia_kompaniia
367,"ГУП республики Крым ""Крымгазсети""",,,,,gup_riespubliki_krym_krymgazsieti
368,"ГУП республики Крым ""Черноморнефтегаз""",,,,,gup_riespubliki_krym_chiernomornieftiegaz
369,"ГУП Свердловской области ""Газовые сети""",,,,,gup_svierdlovskoi_oblasti_gazovyie_sieti
370,"ГУП Свердловской области ""Газовые сети""-1",,,,,gup_svierdlovskoi_oblasti_gazovyie_sieti-1
371,"ГЭПП ""Нижегородоблкоммунэнерго""",,,,,gepp_nizhieghorodoblkommuneniergho
372,"ЖСК ""Альфа""",,,,,zhilishchno-stroitielnyi_koopierativ_alfa
373,"ЗАО ""Городищерайгаз""",,,,,ooo_gorodishchieraighaz
374,"ЗАО ""Запсибгазцентр""",,,,,zao_zapsibghaztsientr
375,"ЗАО ""Радугаэнерго""",,,,,zao_radughaeniergho
376,"ЗАО ""Реал-Инвест""",,,,,zao_rieal-inviest
377,"ЗАО ""Серпуховский кирпичный завод""",,,,,zao_sierpukhovskii_kirpichnyi_zavod
378,"ЗАО ""Тобольскгаз""",,,,,zao_tobolskghaz
379,"ЗАО ""Тульское предприятие тепловых сетей""",,,,,zao_tulskoie_priedpriiatiie_tieplovykh_sietiei
380,"ИКЦ ""Спецтеплосервис""",,,,,inzhienierno-konsultatsionnyi_tsientr_spietstieplosiervis
381,"КИЗ ""Зеленая Роща-1""",,,,,koopierativ_individualnykh_zastroishchikov_zielienaia_roshcha-1
382,"МП ""ЖЭК-3"" Ханты-Мансийского района",,,,,munitsipalnoie_priedpriiatiie_zhek-3_khanty-mansiiskogho_raiona
383,"МП ""Комплекс-Плюс"" сельского поселения Горноправдинск",,,,,mp_komplieks-plius_sielskogho_posielieniia_gornopravdinsk
384,"МП ""Урайгаз""",,,,,mp_uraighaz
385,"МП ""Ханты-Мансийскгаз"" муниципального образования город Ханты-Мансийск",,,,,munitsipalnoie_priedpriiatiie_khanty-mansiiskghaz_munitsipalnogho_obrazovaniia_ghorod_khanty-mansiisk
386,"МП ""Эксплуатационная генерирующая компания"" муниципального образования г.п. Приобье",,,,,mp_ekspluatatsionnaia_ghienieriruiushchaia_kompaniia_munitsipalnogho_obrazovaniia_ghp_priobie
387,"МП по эксплуатации газового хозяйства ""Хасавюртовское""",,,,,mp_po_ekspluatatsii_ghazovogho_khoziaistva_khasaviurtovskoie
388,"МУП ""Алексеевское районное архитектурно-планировочное бюро""",,,,,mup_alieksieievskoie_raionnoie_arkhitiekturno-planirovochnoie_biuro
389,"МУП ""Газстройсервис"" Урюпинского муниципального района Волгоградской области",,,,,mup_gazstroisiervis_uriupinskogho_munitsipalnogho_raiona_volghoghradskoi_oblasti
390,"МУП ""Магнитогорские газовые сети""",,,,,mup_maghnitoghorskiie_ghazovyie_sieti
391,"МУП ""Многоотраслевое Производственное Объединение Энергосетей г. Трёхгорного""",,,,,mup_mnoghootraslievoie_proizvodstviennoie_obiedinieniie_enierghosietiei
392,"МУП ""Райгазстрой""",,,,,mup_raighazstroi
393,"МУП ""ТеплоЭнерго""",,,,,mup_tieploeniergho
394,"МУП ""Территориально объединенное управление тепловодоснабжения и водоотведения №1"" МО Сургутский район",,,,,mup_tierritorialno_obiediniennoie_upravlieniie_tieplovodosnabzhieniia_i_vodootviedieniia_1_mo_surghutskii_raion
395,"МУП ""УГХ"" МО г. Пыть-Ях",,,,,mup_upravlieniie_ghorodskogho_khoziaistva_munitsipalnogho_obrazovaniia_ghoroda_pyt-iakh
396,"МУП города Лермонтова ""Лермонтовское городское газовое хозяйство""",,,,,mup_liermontovskoie_ghorodskoie_ghazovoie_khoziaistvo
397,"ОАО ""Апшеронскрайгаз""",,,,,oao_apshieronskraighaz
398,"ОАО ""Боровский завод радиотехнологического оснащения""",,,,,oao_borovskii_zavod_radiotiekhnologhichieskogho_osnashchieniia_oao_bzrto
399,"ОАО ""Волжскиймежрайгаз""",,,,,oao_volzhskiimiezhraighaz
400,"ОАО ""Газпром газораспределение Воронеж""",,,,,oao_gazprom_ghazoraspriedielieniie_voroniezh
401,"ОАО ""Газпромнефть – Омский НПЗ""",,,,,oao_gazpromnieft_--_omskii_npz
402,"ОАО ""Газсбытсервис""",,,,,oao_gazsbytsiervis
403,"ОАО ""Горгаз"" г.Заречный Пензенской области",,,,,oao_gorghaz_ghzariechnyi_pienzienskoi_oblasti
404,"ОАО ""Городские газовые сети""",,,,,oao_gorodskiie_ghazovyie_sieti
405,"ОАО ""Даггаз""",,,,,riespublikanskoie_oao_po_ghazifikatsii_i_ekspluatatsii_ghazovogho_khoziaistva_daghghaz
406,"ОАО ""Дальневосточная генерирующая компания""",,,,,oao_dalnievostochnaia_ghienieriruiushchaia_kompaniia
407,"ОАО ""Дальтрансгаз""",,,,,oao_daltransghaz
408,"ОАО ""Завод точного литья""",,,,,oao_zavod_tochnogho_litia
409,"ОАО ""Каменскгаз""",,,,,oao_kamienskghaz
410,"ОАО ""Камчатгазпром""",,,,,oao_kamchatghazprom
411,"ОАО ""Магнитогорскмежрайгаз""",,,,,oao_maghnitoghorskmiezhraighaz
412,"ОАО ""Малоярославецмежрайгаз""",,,,,oao_maloiaroslavietsmiezhraighaz
413,"ОАО ""Новолипецкий металлургический комбинат""",,,,,oao_novolipietskii_mietallurghichieskii_kombinat
414,"ОАО ""Особая экономическая зона промышленно-производственного типа ""Алабуга""",,,,,oao_osobaia_ekonomichieskaia_zona_promyshlienno-proizvodstviennogho_tipa_alabugha
415,"ОАО ""Особая экономическая зона промышленно-производственного типа ""Липецк""",,,,,oao_osobaia_ekonomichieskaia_zona_promyshlienno-proizvodstviennogho_tipa_lipietsk
416,"ОАО ""Особые экономические зоны""",,,,,oao_osobyie_ekonomichieskiie_zony
417,"ОАО ""Первомайскхиммаш""",,,,,oao_piervomaiskkhimmash
418,"ОАО ""Самарагаз""",,,,,oao_samaraghaz
419,"ОАО ""Сахалиноблгаз""",,,,,oao_sakhalinoblghaz
420,"ОАО ""СибурТюменьГаз""",,,,,oao_siburtiumiengaz
421,"ОАО ""Славнефть-Ярославский нефтеперерабатывающий завод имени Д.И. Менделеева""",,,,,oao_slavnieft-iaroslavskii_nieftiepierierabatyvaiushchii_zavod_imieni_di_miendielieieva
422,"ОАО ""Славянскгоргаз""",,,,,oao_slavianskghorghaz
423,"ОАО ""Сургутгаз""",,,,,oao_surghutghaz
424,"ОАО ""Сызраньгаз""",,,,,oao_syzranghaz
425,"ОАО ""Троицкмежрайгаз""",,,,,oao_troitskmiezhraighaz
426,"ОАО ""Уренгойнефтегазгеология""",,,,,oao_urienghoinieftieghazghieologhiia
427,"ОАО ""Шпаковскрайгаз""",,,,,oao_shpakovskraighaz
428,"ОАО ""Энерго-Газ-Ноябрьск""",,,,,oao_eniergho-gaz-noiabrsk
429,"ОГУЭПП ""Смоленскоблкоммунэнерго""",,,,,oguepp_smolienskoblkommuneniergho
430,"ООО ""АвангардЪ-Контракт""",,,,,ooo_avanghard-kontrakt
431,"ООО ""Аварийно-диспетчерская служба""",,,,,ooo_avariino-dispietchierskaia_sluzhba
432,"ООО ""Автогазсервис""",,,,,ooo_avtoghazsiervis
433,"ООО ""Агрокомплекс ""Иванисово""",,,,,ooo_aghrokomplieks_ivanisovo
434,"ООО ""Айхалтрансгаз""",,,,,ooo_aikhaltransghaz
435,"ООО ""АльфаГазСтройСервис""",,,,,ooo_alfagazstroisiervis
436,"ООО ""АльфаСтрой""",,,,,ooo_alfastroi
437,"ООО ""Альянс""",,,,,ooo_alians
438,"ООО ""Анивагаз""",,,,,ooo_anivaghaz
439,"ООО ""АхтубаГазПроект""",,,,,ooo_akhtubagazproiekt
440,"ООО ""АЭС""",,,,,ooo_aes
441,"ООО ""Большечапурниковское коммунальное хозяйство""",,,,,ooo_bolshiechapurnikovskoie_kommunalnoie_khoziaistvo
442,"ООО ""Брайзер+""",,,,,ooo_braizier_plius
443,"ООО ""Буйнакскгоргаз""",,,,,ooo_buinakskghorghaz
444,"ООО ""БЭЛФ-ГАЗ""",,,,,ooo_belf-gaz
445,"ООО ""ВельскГазСервис""",,,,,ooo_vielskgazsiervis
446,"ООО ""Вина Прикумья 2000""",,,,,ooo_vina_prikumia_2000
447,"ООО ""Волгогаз""",,,,,ooo_volghoghaz
448,"ООО ""ВоронежТеплоГазСервис""",,,,,ooo_voroniezhtieplogazsiervis
449,"ООО ""Воронежтехногазсервис""",,,,,ooo_voroniezhtiekhnogazsiervis
450,"ООО ""ВымпелГаз""",,,,,ooo_vympielgaz
451,"ООО ""Газ-гарант""",,,,,ooo_gaz-garant
452,"ООО ""Газификация""",,,,,ooo_gazifikatsiia
453,"ООО ""ГазКапитал""",,,,,ooo_gazkapital
454,"ООО ""Газконтракт""",,,,,ooo_gazkontrakt
455,"ООО ""Газовая служба ""Факел""",,,,,ooo_gazovaia_sluzhba_fakiel
456,"ООО ""Газораспределительная организация""",,,,,ooo_gazoraspriedielitielnaia_orghanizatsiia
457,"ООО ""Газотранспортная компания""",,,,,ooo_gazotransportnaia_kompaniia
458,"ООО ""Газпром добыча Уренгой""",,,,,ooo_gazprom_dobycha_urienghoi
459,"ООО ""Газпром переработка""",,,,,ooo_gazprom_pierierabotka
460,"ООО ""Газпром трансгаз Казань""",,,,,ooo_gazprom_transghaz_kazan
461,"ООО ""ГазРесурс""",,,,,ooo_gazriesurs
462,"ООО ""ГазСервисРаспределение""",,,,,ooo_gazsiervisraspriedielieniie_ooo_gazsiervisraspriedielieniie
463,"ООО ""Газспецстрой""",,,,,ooo_gazspietsstroi
464,"ООО ""ГазТехСервис""",,,,,ooo_gaztiekhsiervis
465,"ООО ""ГазТрансСиб""",,,,,ooo_gaztranssib
466,"ООО ""Глобал Гасиз энд Энерджи""",,,,,ooo_global_gasiz_end_enierdzhi
467,"ООО ""Глобалгазинвест""",,,,,ooo_globalghazinviest
468,"ООО ""Горгаз""",,,,,ooo_gorghaz
469,"ООО ""Горгазсервис""",,,,,ooo_gorghazsiervis
470,"ООО ""Горгазэксплуатация""",,,,,ooo_gorghazekspluatatsiia
471,"ООО ""Городские инженерные сети""",,,,,ooo_gorodskiie_inzhieniernyie_sieti
472,"ООО ""Дзержинскгоргаз""",,,,,ooo_dzierzhinskghorghaz
473,"ООО ""Дзержинскмежрайгаз""",,,,,ooo_dzierzhinskmiezhraighaz
474,"ООО ""Дивеево райгаз""",,,,,ooo_divieievo_raigaz
475,"ООО ""Домодедово Эрфилд""",,,,,ooo_domodiedovo_erfild
476,"ООО ""Е5""",,,,,ooo_ie5
477,"ООО ""ЕвроХим-Энерго""",,,,,ooo_ievrokhim-eniergho
478,"ООО ""ЗеФС-Газораспределение""",,,,,ooo_ziefs-gazoraspriedielieniie
479,"ООО ""Златоустгазстрой""",,,,,ooo_zlatoustghazstroi
480,"ООО ""Ивтрансгазстрой""",,,,,ooo_ivtransgazstroi
481,"ООО ""Игманд""",,,,,ooo_igmand
482,"ООО ""Индустриальный парк ""Станкомаш""",,,,,ooo_industrialnyi_park_stankomash
483,"ООО ""ИнтерПромЭнерго Тула""",,,,,ooo_intierpromeniergho_tula
484,"ООО ""ИнтерПромЭнерго""",,,,,ooo_intierpromeniergho
485,"ООО ""ИФК ""РусьЭнерго""",,,,,ooo_ifk_ruseniergho
486,"ООО ""Калашниковская энергетическая компания",,,,,ooo_kalashnikovskaia_enierghietichieskaia_kompaniia
487,"ООО ""КАМАЗ-Энерго""",,,,,ooo_kamaz-eniergho
488,"ООО ""Каспийскгазсервис""",,,,,ooo_kaspiiskghazsiervis
489,"ООО ""Классик""",,,,,ooo_klassik
490,"ООО ""Княгининский Стройгаз""",,,,,ooo_kniaghininskii_stroighaz
491,"ООО ""Коелга-Сервис""",,,,,ooo_koielgha-siervis
492,"ООО ""Коминтех""",,,,,ooo_komintiekh
493,"ООО ""Кондатехгаз""",,,,,ooo_kondatiekhghaz
494,"ООО ""Котласгазсервис""",,,,,ooo_kotlasghazsiervis
495,"ООО ""Кроника""",,,,,ooo_kronika
496,"ООО ""Кузбассоблгаз""",,,,,ooo_kuzbassoblghaz_byvsh_ooo_inviestghazstroi
497,"ООО ""Магнитогорскгазстрой""",,,,,ooo_maghnitoghorskghazstroi
498,"ООО ""Маг-Энерго""",,,,,ooo_magh-eniergho
499,"ООО ""Мега плюс""",,,,,ooo_miega_plius
500,"ООО ""Межоблгаз""",,,,,ooo_miezhoblgaz
501,"ООО ""Митра""",,,,,ooo_mitra
502,"ООО ""Надымгоргаз""",,,,,ooo_nadymghorghaz
503,"ООО ""Нижневартовскгаз""",,,,,ooo_nizhnievartovskghaz
504,"ООО ""НПП Сибирский энергетический центр""",,,,,npp_sibirskii_eniergietichieskii_tsientr
505,"ООО ""Няганские газораспределительные сети""",,,,,ooo_niaghanskiie_ghazoraspriedielitielnyie_sieti
506,"ООО ""Облгаз""",,,,,ooo_oblgaz
507,"ООО ""Объединение Транс-Континенталь""",,,,,ooo_obiedinieniie_trans-kontiniental
508,"ООО ""Одинцовская РЭС""",,,,,ooo_odintsovskaia_res
509,"ООО ""Озерскгаз""",,,,,ozierskgaz
510,"ООО ""Омскгазсеть""",,,,,ooo_omskghazsiet_byvsh_ooo_miegha-inviest
511,"ООО ""Партнёр-Газ""",,,,,ooo_partnior-gaz
512,"ООО ""Плазма""",,,,,ooo_plazma
513,"ООО ""Покровсктрансгаз""",,,,,ooo_pokrovsktransghaz
514,"ООО ""Прадо""",,,,,ooo_prado
515,"ООО ""Производственная фирма ""Юменс""",,,,,ooo_proizvodstviennaia_firma_iumiens
516,"ООО ""Промгазсервис""",,,,,ooo_promghazsiervis
517,"ООО ""ПромГазСервис""",,,,,ooo_promgazsiervis
518,"ООО ""Прометей-Сервис""",,,,,ooo_promietiei-siervis
519,"ООО ""Промэнерго-Строммашполимер""",,,,,ooo_promeniergho-strommashpolimier
520,"ООО ""Профсервис""",,,,,ooo_profsiervis
521,"ООО ""ПургазГРС""",,,,,ooo_purghazgrs
522,"ООО ""Пургазсервис""",,,,,ooo_purghazsiervis
523,"ООО ""Районные газовые сети""",,,,,ooo_raionnyie_ghazovyie_sieti
524,"ООО ""Региональная газовая компания""",,,,,ooo_rieghionalnaia_ghazovaia_kompaniia
525,"ООО ""Региональная организация смоленских машиностроителей и промышленников""",,,,,ooo_rieghionalnaia_orghanizatsiia_smolienskikh_mashinostroitieliei_i_promyshliennikov
526,"ООО ""Региональные Газовые Системы""",,,,,ooo_rieghionalnyie_gazovyie_sistiemy
527,"ООО ""Регионгазсервис""",,,,,ooo_rieghionghazsiervis
528,"ООО ""Регионтрансгаз""",,,,,ooo_rieghiontransghaz
529,"ООО ""РН-Сахалинморнефтегаз""",,,,,ooo_rn-sakhalinmornieftieghaz
530,"ООО ""Росстройгаз""",,,,,ooo_rosstroighaz
531,"ООО ""Русгаз""",,,,,ooo_rusghaz
532,"ООО ""Русский проект""",,,,,ooo_russkii_proiekt
533,"ООО ""Русский Хлеб""",,,,,ooo_russkii_khlieb
534,"ООО ""Самараоблгаз-сервис""",,,,,ooo_samaraoblghaz
535,"ООО ""Сахалинская Газовая Энергетическая компания""",,,,,ooo_sakhalinskaia_gazovaia_enierghietichieskaia_kompaniia
536,"ООО ""Севергаз эксплуатация""",,,,,ooo_sieviergaz_ekspluatatsiia
537,"ООО ""СибГазификация""",,,,,ooo_sibgazifikatsiia
538,"ООО ""Сибгаз-эксплуатация""/2225140681",,,,,ooo_sibghaz-ekspluatatsiia
539,"ООО ""Сибгаз-эксплуатация""/4253034819",,,,,sibgaz-ekspluatatsiia
540,"ООО ""Сигма-Энерго""",,,,,ooo_sighma-eniergho
541,"ООО ""Ситэк""",,,,,ooo_sitek
542,"ООО ""СпецТрансГаз""",,,,,ooo_spietstransgaz
543,"ООО ""Средневолжская газовая компания""",,,,,ooo_sriednievolzhskaia_ghazovaia_kompaniia
544,"ООО ""Стандарт лимит""",,,,,ooo_standart_limit
545,"ООО ""Стимул""",,,,,ooo_stimul
546,"ООО ""Строительно-монтажная фирма ""Прометей""",,,,,ooo_stroitielno-montazhnaia_firma_promietiei
547,"ООО ""Стройбизнес""",,,,,ooo_stroibiznies
548,"ООО ""Тарасовскнефтегазстрой""",,,,,ooo_tarasovsknieftieghazstroi
549,"ООО ""Тарусгазсервис""",,,,,ooo_tarusghazsiervis
550,"ООО ""ТеплоГазСервис""",,,,,ooo_tieplogazsiervis
551,"ООО ""ТеплоЭнергоСервис""",,,,,ooo_tieploenierghosiervis
552,"ООО ""Техническое обслуживание и эксплуатация газораспределительных систем""",,,,,ooo_tiekhnichieskoie_obsluzhivaniie_i_ekspluatatsiia_ghazoraspriedielitielnykh_sistiem
553,"ООО ""Техно Сети""",,,,,ooo_tiekhno_sieti
554,"ООО ""Техногаз""",,,,,ooo_tiekhnoghaz_byvsh_ooo_tiekhnoghaz_tkhg
555,"ООО ""Техно-Сервис""",,,,,ooo_tiekhno-siervis
556,"ООО ""Техсервис""",,,,,ooo_tiekhsiervis
557,"ООО ""Тихорецкгазсервис""",,,,,ooo_tikhorietskghazsiervis
558,"ООО ""Тополь М""",,,,,ooo_topol_m
559,"ООО ""Трансгаз""",,,,,ooo_transghaz
560,"ООО ""ТрансКонтиненталь""",,,,,ooo_transkontiniental
561,"ООО ""Туапсегоргаз""",,,,,ooo_tuapsiegorgaz
562,"ООО ""Удмуртэнергонефть""",,,,,ooo_udmurtenierghonieft
563,"ООО ""УК ""Юг-газ""",,,,,upravliaiushchaia_kompaniia_iug-gaz
564,"ООО ""Фортуна+""",,,,,ooo_fortuna_plius
565,"ООО ""Хоста""",,,,,ooo_khosta
566,"ООО ""Шиханыгоргаз""",,,,,ooo_shikhanyghorghaz
567,"ООО ""ЭКИП Авангард""",,,,,ooo_ekip_avanghard
568,"ООО ""ЭксплоГаз""",,,,,ooo_eksplogaz
569,"ООО ""Энергокомпания""",,,,,ooo_enierghokompaniia
570,"ООО ""Энергосети Сибири""",,,,,ooo_enierghosieti_sibiri
571,"ООО ""Энергоснабжающая организация Кирово-Чепецкого химического комбината""",,,,,ooo_enierghosnabzhaiushchaia_orghanizatsiia_kirovo-chiepietskogho_khimichieskogho_kombinata
572,"ООО ""Энергострой ЛТД""",,,,,ooo_enierghostroi_ltd
573,"ООО ""ЭСКА""",,,,,ooo_eska
574,"ООО ""ЭТП ГПБ Консалтинг""",,,,,tiestovaia_novaia
575,"ООО ""ЮграТеплоГазСтрой""",,,,,ooo_iughratieplogazstroi
576,"ООО ""Югтрансгаз""",,,,,ooo_iughtransghaz
577,"ООО ""Юза-газораспределение""",,,,,ooo_iuza-gazoraspriedielieniie
578,"ООО ИКЦ ""Спецтеплосервис""",,,,,ooo_ikts_spietstieplosiervis
579,"ПАО ""Севастопольгаз""",,,,,pao_po_ghazosnabzhieniiu_i_ghazifikatsii_sievastopolghaz
580,"ПК ""Толмачевский""",,,,,potriebitielskii_koopierativ_po_sodieistviiu_iegho_chlienam_v_rieshienii_obshchikh_sotsialno-khoziaistviennykh_zadach_tolmachievskii
581,"Сургутское ГМУП ""Городские тепловые сети""",,,,,surgutskoie_gorodskoie_munitsipalnoie_unitarnoie_priedpriiatiie_gorodskiie_tieplovyie_sieti
582,"Тамбовское ОГУП ""Водное и газовое хозяйство""",,,,,tambovskoie_oblastnoie_ghosudarstviennoie_unitarnoie_priedpriiatiie_vodnoie_i_ghazovoie_khoziaistvo
583,"ФГУП ""Государственный космический научно-производственный центр им. М.В.Хруничева""",,,,,fgup_gosudarstviennyi_kosmichieskii_nauchno-proizvodstviennyi_tsientr_im_m_tochka_v_khrunichieva
584,"ФГУП ""Управление энергетики и водоснабжения""",,,,,fgup_upravlieniie_eniergietiki_i_vodosnabzhieniia
585,ФГУП Российский федеральный ядерный центр - ВНИИЭФ,,,,,fgup_rfiats-vniief
586,"Частное предприятие ""Укргазпром""",,,,,chastnoie_priedpriiatiie_ukrghazprom
